,HR4,HR12_2,STIMULUS3,POLICY2,MEDIA6_1,MEDIA6_5,MEDIA12,IDEOLOGY6,CULTURE1_6,DEMOGRAPHIC9,STIMULUS1_WORK_FROM_HOME,STIMULUS1_LOST_JOB,STIMULUS1_FURLOUGHED,STIMULUS1_WORK_MORE_HOUR,STIMULUS1_INCREASED_PAY,POLICY5_VOLUNTARY_SD,POLICY5_OLD_PEOPLE_SD,POLICY5_CLOSE_SCHOOL,POLICY6_AFFECTED_AREA_SD,POLICY6_OLD_PEOPLE_SD,POLICY6_CLOSE_UNIVERSITY,PERSONAL1_WFH,PERSONAL1_DISTANCE_OLD_PEOPLE,PERSONAL1_KEEP_KIDS_HOME1,PERSONAL1_KEEP_KIDS_HOME2,PERSONAL5_SELF_QUARANTINED,PERSONAL6_NO_FOOD,PERSONAL6_LACK_CARE,PERSONAL6_KIDS_EDU,PERSONAL6_CANNOT_PAY_RENT,PERSONAL6_CANNOT_TAKE_CARE_OTHER,PERSONAL6_OTHER,PERSONAL7_REDUCED_INCOME,PERSONAL7_LOSS_CHILDCARE,PERSONAL7_GETTING_SUPPLIES,PERSONAL7_ACCESS_HEALTHCARE,PERSONAL7_NONE,MEDIA3_NEWSPAPER,MEDIA3_MAGAZINE,MEDIA3_GOV_WEBSITE,MEDIA3_FRIENDS_FAMILY,MEDIA3_HEALTH_PRACTITIONERS,MEDIA3_SCIEN_ARTICLES,MEDIA4_NEWSPAPER,MEDIA4_HEALTH_RESEARCHER,MEDIA4_SCIEN_ARTICLES,MEDIA8_DIABETES,MEDIA8_CANCER,MEDIA8_LUNG_DISEASE,MEDIA8_OTHER,MEDIA8_NONE,MEDIA8_HYPERTENSION,MEDIA16_SCHOOL,MEDIA16_FOOD_STAMPS,MEDIA16_COMMUNITY,MEDIA16_FOOD_ASSIS,RUMORS1_USARMY_BROUGHT,RUMORS1_BAT_ANIMAL_HUMANS,DEMOGRAPHIC1_EMPLOYED,DEMOGRAPHIC1_UNEMPLOYED,DEMOGRAPHIC1_RETIRED,IDEOLOGY5,POLICY4_A,POLICY4_B,MEDIA17_B,MEDIA17_A,CHILDCARE3_No,CHILDCARE3_Yes,ELDERLYCARE1_No,ELDERLYCARE1_Yes,IDEOLOGY1_C,IDEOLOGY1_B,IDEOLOGY1_A,IDEOLOGY1_D,IDEOLOGY3_B,IDEOLOGY3_A,IDEOLOGY3_D,IDEOLOGY3_C,DEMOGRAPHIC2_Yes,DEMOGRAPHIC2_No,DEMOGRAPHIC6_Yes,DEMOGRAPHIC6_No,DEMOGRAPHIC7_No,DEMOGRAPHIC7_Yes
0,2,0,0,2,1,3,1,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
1,2,0,1,1,3,3,1,2,2,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
2,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
3,1,1,0,1,1,1,2,3,4,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
4,4,1,1,1,1,3,1,2,3,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
5,3,0,1,2,3,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
6,1,1,2,2,3,1,0,4,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
7,4,2,1,2,1,5,0,4,1,4,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-2,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
8,3,2,1,2,1,3,0,3,4,3,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
9,1,2,2,0,1,1,0,2,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
