,Unnamed: 0,HR1_10SCALE,HR2_1,HR2_2,HR2_3,HR2_4,HR2_5,HR3,HR4,HR5,HR7_1,HR7_2,HR7_3,STIMULUS2,STIMULUS3,PERSONAL2,MEDIA5,MEDIA6_6,MEDIA11,DEMOGRAPHIC4,DEMOGRAPHIC13
0,0,4,3,1,2,3,5,1,2,3,2,1,2,C,0,3,A,1,0,IN,0
1,1,4,3,3,4,2,4,3,2,3,2,2,1,C,1,2,E,4,2,CO,0
2,2,10,0,0,0,0,0,0,0,0,0,0,0,C,0,0,E,1,0,GA,0
3,3,5,3,3,3,3,3,0,1,2,2,2,1,C,0,0,D,1,4,IL,0
4,4,5,3,0,1,1,2,0,4,1,4,0,1,C,1,0,C,3,0,MS,0
5,5,5,5,5,5,5,5,3,3,3,3,3,3,C,1,0,B,3,4,IL,0
6,6,10,2,2,2,1,2,0,1,0,2,4,3,C,2,2,E,1,0,TX,1
7,7,10,5,5,5,5,4,4,4,4,4,4,4,B,1,3,C,5,0,WA,1
8,8,1,3,1,4,3,3,3,3,1,4,4,4,C,1,2,C,2,0,IL,1
9,9,3,2,1,0,5,4,2,1,0,3,2,1,B,2,2,D,1,0,TN,1
10,10,5,3,4,4,4,4,3,4,4,3,3,2,C,2,3,C,2,0,MN,1
11,11,5,0,3,3,4,3,3,3,3,2,2,2,A,2,2,B,3,4,GA,1
12,12,10,3,3,3,3,3,2,3,2,0,0,0,C,2,0,A,3,0,WI,0
13,13,4,0,0,0,0,0,2,2,2,0,0,0,C,0,2,E,0,0,MT,1
14,14,7,5,5,5,5,5,4,4,4,4,4,4,B,3,2,C,3,4,TX,3
15,15,1,4,4,4,4,4,3,3,3,3,0,0,C,2,2,B,2,0,CA,1
16,16,5,4,4,4,4,4,3,3,3,1,3,3,C,2,2,D,3,0,NY,1
17,17,2,0,2,3,4,4,2,0,2,3,2,0,B,1,2,D,2,0,NY,1
18,18,5,5,4,5,5,4,4,4,4,4,4,3,B,2,3,B,0,4,IN,1
19,19,10,2,3,2,3,1,1,1,2,3,3,2,B,3,1,C,2,0,FL,0
20,20,10,2,2,4,3,2,1,2,3,2,2,1,B,1,2,A,3,0,OK,1
21,21,1,1,1,3,5,5,2,1,1,2,1,2,C,2,3,B,1,0,NV,1
22,22,1,2,4,2,1,1,4,4,4,0,2,3,B,1,1,A,2,2,NY,0
23,23,10,5,4,4,4,5,4,4,4,4,4,3,B,3,1,A,1,4,NJ,2
24,24,3,1,3,4,3,3,3,2,2,0,1,3,C,2,2,C,3,3,CA,1
25,25,5,4,5,5,4,3,4,4,3,4,4,3,C,1,3,A,0,4,CA,0
26,26,8,2,3,4,5,3,4,2,4,4,3,2,C,2,1,A,3,0,AL,0
27,27,6,3,2,4,3,3,2,2,2,2,3,1,C,1,1,D,2,2,IL,1
28,28,1,1,2,3,3,3,4,1,0,4,1,0,C,0,2,C,1,0,OK,0
29,29,1,3,3,3,0,3,4,2,4,0,0,0,C,3,3,A,1,0,TX,1
30,30,5,4,5,3,3,5,3,3,3,3,4,3,A,3,2,B,2,3,TX,1
31,31,4,3,4,4,3,4,3,3,3,3,3,4,A,2,2,A,2,0,IA,0
32,32,9,3,3,4,3,3,4,4,2,2,2,2,C,2,1,A,3,0,MN,1
33,33,2,5,5,5,5,5,4,4,4,4,4,4,B,3,3,B,5,4,TX,3
34,34,1,2,2,5,5,5,4,1,1,4,4,1,B,1,2,D,4,1,KY,0
35,35,7,4,3,4,4,4,3,3,3,3,3,3,C,2,2,B,4,1,VA,1
36,36,10,4,4,4,1,2,3,2,3,3,3,1,B,2,3,D,5,4,OH,0
37,37,2,3,3,3,4,4,3,0,2,0,0,0,C,1,2,A,3,4,KY,0
38,38,2,3,3,3,4,4,3,2,3,0,0,0,B,0,2,D,2,1,OH,0
39,39,6,1,1,3,4,0,2,3,4,1,4,2,B,2,1,A,2,0,TN,1
40,40,7,4,5,5,3,5,3,4,4,4,4,3,B,2,2,A,5,0,PA,1
41,41,1,5,5,5,5,5,4,4,4,2,2,3,B,3,3,A,1,0,CA,1
42,42,10,3,3,4,4,1,4,2,3,2,2,1,C,2,3,F,2,4,AL,1
43,43,5,3,3,3,3,3,4,0,0,0,0,0,B,0,2,F,3,0,IL,1
44,44,10,5,3,5,3,3,0,2,4,2,3,3,C,0,3,E,1,4,TX,0
45,45,5,3,3,3,3,3,3,3,3,3,3,3,C,0,2,C,3,0,TX,1
46,46,10,4,4,4,4,4,3,3,3,3,3,3,C,2,2,D,2,4,KY,1
47,47,8,4,3,4,4,4,3,3,3,2,1,3,B,2,2,C,3,3,SC,2
48,48,10,2,2,5,4,4,4,2,4,4,4,4,B,2,3,A,1,0,TN,1
49,49,3,2,2,5,3,5,3,1,2,3,3,3,A,2,2,C,1,2,TX,1
50,50,2,3,4,5,3,4,3,1,3,0,0,2,A,1,3,E,1,0,NY,1
51,51,10,4,4,3,4,5,3,2,1,4,3,1,C,2,2,A,3,0,NY,0
52,52,4,4,3,4,5,5,4,2,4,3,3,0,B,1,1,D,5,0,WV,2
53,53,7,1,2,2,4,4,3,3,4,4,3,3,C,2,1,B,4,0,CA,1
54,54,8,3,4,1,3,4,3,3,3,3,4,3,B,2,3,A,5,4,PA,1
55,55,10,1,1,3,2,2,1,1,1,3,3,3,C,1,3,D,3,1,MS,0
56,56,7,4,3,4,4,5,4,3,0,2,0,1,C,0,3,D,0,0,MA,0
57,57,5,1,1,3,4,4,3,2,3,4,3,2,A,1,2,B,4,2,FL,1
58,58,8,4,5,5,5,5,4,3,4,4,4,3,A,2,2,B,2,4,NY,2
59,59,8,4,5,4,5,2,3,4,3,3,4,2,C,2,3,A,4,4,NY,2
60,60,8,3,3,5,5,5,4,3,4,3,3,3,C,2,2,D,5,3,PA,0
61,61,4,4,5,4,5,5,4,3,3,3,0,1,C,2,2,C,4,1,CA,1
62,62,8,4,2,4,2,2,3,3,3,2,2,1,C,2,3,A,3,0,VA,0
