,Unnamed: 0,HR2_5,HR6,HR7_1,HR7_2,HR7_3,HR7_4,HR12_1,HR12_2,STIMULUS3,MEDIA6_4,DEMOGRAPHIC13,HR8,HR11.0,HR11.1,HR11.2,HR11.3,HR14.0,HR14.1,HR14.2,HR14.3,HR14.4,HR14.5,HR14.6,HR14.7
0,0,5,3,2,1,2,2,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0
1,1,4,2,2,2,1,2,1,0,1,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,3,3,2,2,2,1,3,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
4,4,2,4,4,0,1,3,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,5,5,2,3,3,3,3,0,0,1,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0
6,6,2,0,2,4,3,1,1,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
7,7,4,4,4,4,4,4,2,2,1,5,1,3,0,1,0,0,0,0,0,1,0,0,0,0
8,8,3,1,4,4,4,4,2,2,1,5,1,3,0,1,0,0,0,0,0,1,0,0,0,0
9,9,4,4,3,2,1,0,0,2,2,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0
10,10,4,3,3,3,2,3,2,2,2,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0
11,11,3,4,2,2,2,3,1,2,2,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0
12,12,3,3,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
13,13,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
14,14,5,4,4,4,4,4,1,2,3,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0
15,15,4,3,3,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
16,16,4,3,1,3,3,2,2,2,2,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0
17,17,4,1,3,2,0,0,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0
