,ARM,HR1_10SCALE,HR2_1,HR2_2,HR2_3,HR2_4,HR2_5,HR3,HR4,HR5,HR6,HR7_1,HR7_2,HR7_3,HR7_4,HR8,HR11,HR12_1,HR12_2,HR12_3,HR12_4,HR12_5,HR13,HR14,COVID_HR1,COVID_HR2,COVID_HR3,STIMULUS2,STIMULUS3,STIMULUS4,STIMULUS5,STIMULUS6,POLICY1,POLICY2,POLICY3,POLICY4,PERSONAL2,PERSONAL3,PERSONAL4,WORRY_1,WORRY_2,WORRY_3,WORRY_4,WORRY_5,WORRY_6,WORRY_7,WORRY_8,MEDIA1,MEDIA2,MEDIA5,MEDIA6_1,MEDIA6_2,MEDIA6_3,MEDIA6_4,MEDIA6_5,MEDIA6_6,MEDIA6_7,MEDIA7,MEDIA9,MEDIA10,MEDIA11,MEDIA12,MEDIA13,MEDIA14,MEDIA15,MEDIA17,MH1,MH2,CHILDCARE1,CHILDCARE2,CHILDCARE3,ELDERLYCARE1,IDEOLOGY1,IDEOLOGY2,IDEOLOGY3,IDEOLOGY4,IDEOLOGY5,IDEOLOGY6,IDEOLOGY7,IDEOLOGY8,CULTURE1_1,CULTURE1_2,CULTURE1_3,CULTURE1_4,CULTURE1_5,CULTURE1_6,CULTURE2_1,CULTURE2_2,CULTURE2_3,CULTURE2_4,CULTURE2_5,CULTURE2_6,CULTURE2_7,RUMORS2,DEMOGRAPHIC1,DEMOGRAPHIC2,DEMOGRAPHIC4,DEMOGRAPHIC5,DEMOGRAPHIC6,DEMOGRAPHIC7,DEMOGRAPHIC8,DEMOGRAPHIC9,DEMOGRAPHIC10,DEMOGRAPHIC11,DEMOGRAPHIC12,DEMOGRAPHIC13,age,STIMULUS1_WORK_FROM_HOME,STIMULUS1_LOST_JOB,STIMULUS1_FURLOUGHED,STIMULUS1_REDUCED_HOURS,STIMULUS1_PAY_CUT,STIMULUS1_WORK_MORE_HOUR,STIMULUS1_INCREASED_PAY,STIMULUS1_Nothing changed,POLICY5_EVERYONE_SD,POLICY5_AFFECTED_AREA_SD,POLICY5_VOLUNTARY_SD,POLICY5_OLD_PEOPLE_SD,POLICY5_CLOSE_SCHOOL,POLICY5R_CLOSE_UNIVERSITY,POLICY5_CANCEL_LARGE_EVENT,POLICY5_OTHER,POLICY6_EVERYONE_SD,POLICY6_AFFECTED_AREA_SD,POLICY6_VOLUNTARY_SD,POLICY6_OLD_PEOPLE_SD,POLICY6_CLOSE_SCHOOL,POLICY6_CLOSE_UNIVERSITY,POLICY6_CANCEL_LARGE_EVENT,POLICY6_OTHER,PERSONAL1_WOKR_HOME,PERSONAL1_STAYHOME_GOGROCERY,PERSONAL1_DIST_OLDER_RELATIVES,PERSONAL1_DIST_OTHER_FAMILY,PERSONAL1_DAYCARE_CLOSEDSHCOOL,PERSONAL1_DAYCARE_VOLUNTARILY,PERSONAL5_WASH_HANDS,PERSONAL5_SANITIZER,PERSONAL5_TESTING_COVID,PERSONAL5_CHANGEED_TRAVELPLAN,PERSONAL5_AVOIDED_WITH_OTHERS,PERSONAL5_AVOING_WIHT_ADULTS,PERSONAL5_AVOIDED_GATHERING,PERSONAL5_INFO_COVID,PERSONAL5_Selfquarantined,PERSONAL6_EXP_COM,PERSONAL6_SOMEONE_EXP_COM,PERSONAL6_NOTABL_FOOD_TABLE,PERSONAL6_FEELING_ISOLATED,PERSONAL6_NOTABL_GETCARE,PERSONAL6_NOTABL_TREATMENT,PERSONAL6_CHILD_EDUCATION,PERSONAL6_NOTABL_PAY_RENT,PERSONAL6_NOTABL_TAKECARE_FAM,PERSONAL6_NOTABL_WORK,PERSONAL6_FINANCIAL_IMPACTS,PERSONAL6_OTHER,PERSONAL7_RED_INCOME,PERSONAL7_LOST_JOB,PERSONAL7_LOSS_CHILDCARE,PERSONAL7_FOOD,PERSONAL7_SUPPLIES,PERSONAL7_MEDICATIONS,PERSONAL7_TRANSPORTATION,PERSONAL7_HEALTHCARE,PERSONAL7_NONE,PERSONAL7_OTHER,MEDIA3_TV,MEDIA3_SOCIAL_MEDIA,MEDIA3_NEWSPAPER,MEDIA3_MAGAZINES,MEDIA3_BLOGS_PODCASTS,MEDIA3_GOVERNMENT,MEDIA3_HEALTH_DEP,MEDIA3_MEMBER,MEDIA3_PRACTITIONERS,MEDIA3_RESEARCHERS,MEDIA3_ARTICLES,MEDIA3_OTHER,MEDIA4_TV,MEDIA4_SOCIAL_MEDIA,MEDIA4_NEWSPAPER,MEDIA4_MAGAZINES,MEDIA4_BLOGS_PODCASTS,MEDIA4_GOVERNMENT,MEDIA4_HEALTH_DEP,MEDIA4_MEMBER,MEDIA4_PRACTITIONERS,MEDIA4_RESEARCHERS,MEDIA4_ARTICLES,MEDIA4_OTHER,MEDIA8_DIABETES,MEDIA8_HEART,MEDIA8_CANCER,MEDIA8_HIV/AIDS,MEDIA8_ASTHMA,MEDIA8_LUNG,MEDIA8_OTHER,MEDIA16_KITCHEN,MEDIA16_DISTRICT,MEDIA16_FOODSTAMPS,MEDIA16_NOTFOOD_ASS,MEDIA16_DONTKNOW,RUMORS1_ACCIDENTLY_ESCAPED,RUMORS1_PURPOSEFULLY_LEAKED,RUMORS1_USARMY_BROUGHT,RUMORS1_BAT_TO_HUMANS,RUMORS1_BAT_ANIMAL_HUMANS,RUMORS1_WET_MARKET,RUMORS1_OTHER
0,1,4,3,1,2,3,5,1,2,3,3,2,1,2,2,2,A,0,0,0,1,2,B,E,All,C,A,C,0,0,A,C,1,2,B,A,3,3,2,2,1,0,0,0,1,1,0,3,B,A,1,2,2,1,3,1,2,3,B,3,E,1,A,Yes,A,B,1,2,No,C,No,No,C,H,B,,2,2,A,3,5,3,3,4,4,3,5,4,5,4,5,3,4,B,Manufacturing ,Yes,IN,46825,Yes,No,B,3,Male,2,A,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,4,3,3,4,2,4,3,2,3,2,2,2,1,2,2,B,1,0,1,0,1,C,B,Some,C,C,C,1,1,D,A,1,1,A,B,2,2,3,0,0,1,0,0,0,1,0,0,B,E,3,4,5,4,3,4,5,1,A,3,C,1,B,No,B,B,0,1,No,B,No,No,B,B,B,,0,2,C,A,3,2,1,3,2,2,3,2,4,2,3,2,3,D,Great,No,CO,81650,Yes,No,A,3,Female,1,A,0,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,F,D,All,D,C,C,0,0,E,D,2,0,C,B,0,0,0,2,2,2,2,2,2,2,2,0,D,E,1,1,1,1,1,1,1,0,B,0,E,0,B,No,B,B,0,0,No,B,No,No,A,A,A,A,2,0,,A,5,5,5,5,5,5,5,5,5,5,5,5,5,E,No,No,GA,31027,Yes,No,L,0,Female,0,A,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,3,3,3,3,3,0,1,2,2,2,2,1,3,1,C,1,1,1,1,1,B,E,All,,B,C,0,1,A,B,1,1,A,A,0,0,3,2,2,2,2,2,2,2,2,3,B,D,1,1,1,1,1,1,1,2,B,0,A,2,C,Yes,A,A,1,1,Yes,A,No,No,C,H,D,A,0,3,B,B,4,4,4,4,4,4,4,4,4,4,4,4,4,C,Account,Yes,IL,60609,Yes,No,B,2,Female,2,A,0,51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,1,5,3,0,1,1,2,0,4,1,4,4,0,1,3,0,C,0,1,0,1,1,E,D,,B,C,C,1,2,C,C,1,1,A,A,0,4,3,0,1,0,0,1,0,0,1,1,B,C,1,2,3,3,3,3,3,4,B,4,E,1,B,No,B,B,2,3,No,B,No,No,B,B,C,A,0,2,C,3,5,4,3,3,4,3,5,4,3,3,4,3,3,F,Childcare,Yes,MS,39466,Yes,No,A,2,Female,0,A,0,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5,0,5,5,5,5,5,5,3,3,3,2,3,3,3,3,2,A,0,0,0,0,0,C,E,Some,C,C,C,1,1,E,D,1,2,A,B,0,2,2,0,0,0,0,0,0,0,0,2,B,B,3,3,3,3,3,3,3,2,B,0,A,0,B,No,B,A,1,1,Yes,A,No,No,A,A,D,B,0,2,A,D,3,3,3,3,3,3,3,3,3,3,3,3,3,A,none,Yes,IL,60644,Yes,No,E,0,Female,1,A,0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,10,2,2,2,1,2,0,1,0,0,2,4,3,1,1,C,1,1,0,1,1,B,D,,,C,C,2,2,D,C,2,2,A,B,2,3,1,0,0,1,0,2,0,2,2,3,A,E,3,3,3,1,1,1,1,1,B,3,E,0,C,No,B,B,3,3,No,B,No,No,C,B,B,,2,4,A,3,3,5,1,3,3,3,1,3,3,3,3,3,3,A,Na,No,TX,76301,Yes,No,A,4,Female,5,A,1,41,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,1,10,5,5,5,5,4,4,4,4,4,4,4,4,4,3,B,2,2,2,2,2,A,A,All,C,A,B,1,1,A,C,2,2,B,B,3,1,4,2,2,2,2,2,2,2,2,3,A,C,1,5,5,5,5,5,4,4,A,1,E,0,B,No,B,A,1,1,Yes,A,No,No,A,A,A,B,-2,4,D,D,5,5,1,5,5,1,1,5,5,5,5,5,1,D,Transportation ,No,WA,98409,Yes,No,A,4,Male,3,D,1,49,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,1,3,1,4,3,3,3,3,1,1,4,4,4,4,3,B,2,2,2,2,2,E,A,,,A,C,1,1,A,B,0,2,B,B,2,1,4,1,1,1,1,1,1,1,1,3,C,C,1,5,5,5,3,2,2,3,A,2,E,0,B,No,B,B,0,0,Yes,A,No,No,C,A,A,B,-1,3,D,D,2,4,2,2,4,4,1,4,4,5,5,5,1,A,paralegal ,No,IL,61614,Yes,No,A,3,Female,5,A,1,46,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,2,3,2,1,0,5,4,2,1,0,4,3,2,1,0,3,B,0,2,1,0,2,E,A,Some,B,C,B,2,1,E,A,1,0,A,B,2,2,1,2,2,2,2,2,2,2,2,0,A,D,1,1,1,1,1,1,1,3,A,4,E,0,C,No,B,A,0,1,No,C,No,No,B,B,D,B,0,2,C,E,3,3,3,3,3,3,3,3,3,3,3,3,3,B,Rehab assistant ,Yes,TN,37388,Yes,No,B,4,Female,3,A,1,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
